Policy:,crop and rice measures,Unit: g CO2e,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
-700,-650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42611821.757745296,85223643.51549059,127835465.27323587,170447287.03098118,213059108.78872648,170447287.03098118,127835465.27323589,85223643.51549062,42611821.75774531,0.0
-650,-600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43273076.753757715,86546153.50751543,129819230.26127315,173092307.01503086,216365383.76878858,173092307.01503086,129819230.26127315,86546153.50751543,43273076.75375771,0.0,0.0,0.0,0.0,0.0,0.0
-600,-550,40247520344.36935,32198016275.49548,24148512206.62161,16099008137.747744,8049504068.873872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43745628.76358121,87491257.52716242,131236886.2907436,174982515.05432484,218728143.81790602,174982515.05432484,131236886.2907436,87491257.52716242,43745628.763581194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-550,-500,1591576660.6050956,1273261328.4840767,954945996.3630574,636630664.2420382,318315332.12101907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-500,-450,116232483386.99313,92985986709.5945,69739490032.19588,46492993354.79726,23246496677.39863,0.0,0.0,0.0,0.0,0.0,0.0,48896232.67066106,97792465.34132212,146688698.0119832,195584930.68264425,244481163.35330534,195584930.68264425,146688698.0119832,97792465.34132214,48896232.67066107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-450,-400,0.0,0.0,0.0,0.0,0.0,0.0,54469415.11324128,108938830.22648256,163408245.33972383,217877660.4529651,272347075.5662064,217877660.4529651,163408245.33972383,108938830.22648256,54469415.11324128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13597247958.1833,27194495916.3666,40791743874.5499,54388991832.7332,67986239790.916504,67548320055.00798,67110400319.099464,66672480583.19092,66234560847.2824,65796641111.37386
-400,-350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14579040288.925169,29158080577.850338,43737120866.775505,58316161155.700676,72895201444.62584,72624385833.74023,72353570222.85461,72082754611.96901,71811939001.08339,71541123390.19777,71209602952.0035,70878082513.8092,70546562075.61491,70215041637.42062,69883521199.22633,55906816959.381065,41930112719.5358,27953408479.690536,13976704239.845268,0.0,0.0,0.0,0.0,0.0,0.0
-350,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31271520137.786655,62543040275.57331,93814560413.35997,125086080551.14662,156357600688.9333
-300,-250,0.0,64034139.85234597,128068279.70469195,192102419.5570379,256136559.4093839,320170699.26172984,256136559.4093839,192102419.55703792,128068279.70469195,64034139.85234598,0.0,34645409107.20827,69290818214.41653,103936227321.6248,138581636428.83307,173227045536.04132,172583269119.26266,171939492702.484,171295716285.70532,170651939868.9267,170008163452.14804,169220355033.87418,168432546615.6003,167644738197.32645,166856929779.05258,166069121360.77872,165167298316.9554,164265475273.1321,163363652229.30884,162461829185.48553,161560006141.66223,129248004913.32982,96936003684.99734,64624002456.66488,32312001228.33244,0.0
-250,-200,372847875.9817903,298278300.7854322,223708725.5890742,149139150.39271614,74569575.19635807,0.0,43942751407.62327,87885502815.24654,131828254222.8698,175771005630.49307,219713757038.11636,175771005630.49307,131828254222.8698,87885502815.24654,43942751407.62327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-200,-150,0.0,56986945152.28265,113973890304.5653,170960835456.848,227947780609.1306,284934725761.41327,258670947074.88986,232407168388.36652,206143389701.84308,179879611015.3197,153615832328.79633,122892665863.03708,92169499397.2778,61446332931.518524,30723166465.759262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-150,-100,390886716842.6506,312709373474.1205,234532030105.59033,156354686737.0602,78177343368.5301,0.0,0.0,0.0,0.0,0.0,0.0,25525023460.388035,51050046920.77607,76575070381.1641,102100093841.55214,127625117301.94016,127150685548.7817,126676253795.62318,126201822042.46469,125727390289.30621,125252958536.14772,145809662342.0712,166366366147.99463,186923069953.91812,207479773759.84155,228036477565.76505,226797981262.20654,225559484958.64804,224320988655.0896,223082492351.5311,221843996047.97263,220415325164.79413,218986654281.61563,217557983398.43713,216129312515.25864,214700641632.08014
-100,-90,0.0,46409663677.21556,92819327354.43112,139228991031.64667,185638654708.86224,232048318386.0778,210126558303.83282,188204798221.58786,166283038139.3429,144361278057.09793,122439517974.85295,119999710798.26312,117559903621.67323,115120096445.08337,112680289268.49352,110240482091.90364,109830786466.59846,109421090841.2933,109011395215.98814,108601699590.68298,108192003965.3778,86553603172.30225,64915202379.22669,43276801586.15113,21638400793.075565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-90,-80,139622558412.77515,138351135061.44266,137079711710.11015,135808288358.77765,134536865007.44516,133265441656.11266,106612353324.89012,79959264993.66759,53306176662.44505,26653088331.222527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-80,-70,0.0,0.0,0.0,0.0,0.0,0.0,39468129634.85706,78936259269.71413,118404388904.57118,157872518539.42825,197340648174.28528,157872518539.42825,118404388904.57117,78936259269.71411,39468129634.85705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137964960098.2666,275929920196.5332,413894880294.79974,551859840393.0664,689824800491.3329,685381988525.3905,680939176559.4482,676496364593.5059,672053552627.5635,667610740661.6212
