Policy:,waste - methane capture,Unit: g CO2e,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Lower Bound,Upper Bound,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
-1150,-1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1100,-1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1050,-1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1000,-950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-950,-900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-900,-850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-850,-800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-800,-750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-750,-700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-700,-650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-650,-600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-600,-550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-550,-500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-500,-450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-450,-400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-400,-350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-350,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-300,-250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-250,-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-200,-150,3052579946517.9424,2442063957214.354,1831547967910.7654,1221031978607.1768,610515989303.5883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275275806427.001,550551612854.002,825827419281.003,1101103225708.004,1376379032135.005,1904728160858.148,2433077289581.2905,2961426418304.433,3489775547027.576,4018124675750.719
-150,-100,4407551646232.603,5227394863128.656,6047238080024.711,6867081296920.765,7686924513816.817,8506767730712.871,8671501848220.81,8836235965728.746,9000970083236.682,9165704200744.62,9330438318252.557,9042795513153.068,8755152708053.583,8467509902954.096,8179867097854.609,7892224292755.123,8465061729431.143,9037899166107.162,9610736602783.184,10183574039459.205,10756411476135.225,10533839385986.299,10311267295837.375,10088695205688.45,9866123115539.525,9643551025390.598,8750446151733.373,7857341278076.146,6964236404418.922,6071131530761.697,5178026657104.472,4726321525573.711,4274616394042.952,3822911262512.192,3371206130981.432,2919500999450.673
-100,-90,46962769627.57107,37570215702.056854,28177661776.54264,18785107851.028423,9392553925.514212,0.0,581847629547.117,1163695259094.234,1745542888641.3506,2327390518188.468,2909238147735.5845,3209972494125.3555,3510706840515.126,3811441186904.897,4112175533294.6675,4412909879684.438,4144596569061.27,3876283258438.1016,3607969947814.9336,3339656637191.7646,3071343326568.5967,3163737323760.9775,3256131320953.3584,3348525318145.7393,3440919315338.12,3533313312530.501,4097311561584.457,4661309810638.412,5225308059692.367,5789306308746.322,6353304557800.278,5912763713836.656,5472222869873.034,5031682025909.412,4591141181945.79,4150600337982.168
-90,-80,0.0,151721883773.80362,303443767547.60724,455165651321.4109,606887535095.2145,758609418869.0181,606887535095.2145,455165651321.4108,303443767547.60724,151721883773.8036,0.0,341261268615.7226,682522537231.4452,1023783805847.1677,1365045074462.8904,1706306343078.613,1748018058776.8552,1789729774475.0974,1831441490173.3396,1873153205871.5818,1914864921569.8242,1955222560882.5662,1995580200195.3086,2035937839508.051,2076295478820.793,2116653118133.535,2425319007873.5254,2733984897613.5166,3042650787353.507,3351316677093.4976,3659982566833.4883,4256169910430.8994,4852357254028.31,5448544597625.721,6044731941223.132,6640919284820.543
-80,-70,46962769627.57107,272894186496.73276,498825603365.89435,724757020235.056,950688437104.2177,1176619853973.3794,941295883178.7035,705971912384.0277,470647941589.35187,235323970794.67593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423330623626.707,846661247253.414,1269991870880.121,1693322494506.828,2116653118133.535,2155159393310.538,2193665668487.541,2232171943664.5444,2270678218841.5474,2309184494018.551,2345411384582.5156,2381638275146.4805,2417865165710.445,2454092056274.4097,2490318946838.3745
-70,-60,93925539255.14214,75140431404.11371,56355323553.08528,37570215702.05685,18785107851.028423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-60,-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-50,-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40,-30,0.0,20425299763.67951,40850599527.35902,61275899291.03853,81701199054.71803,102126498818.39755,81701199054.71803,61275899291.03854,40850599527.359024,20425299763.679516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30,-20,0.0,20425299763.67951,40850599527.35902,61275899291.03853,81701199054.71803,102126498818.39755,114332982301.71207,126539465785.0266,138745949268.3411,150952432751.6556,163158916234.97012,130527132987.97609,97895349740.98207,65263566493.98805,32631783246.994034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20,-10,0.0,0.0,0.0,0.0,0.0,0.0,32631783246.994022,65263566493.988045,97895349740.98206,130527132987.97609,163158916234.97012,221856085777.2823,280553255319.5945,339250424861.9066,397947594404.2188,456644763946.53094,453861075401.30383,451077386856.0768,448293698310.8497,445510009765.6227,442726321220.39557,391042020797.72754,339357720375.0595,287673419952.3914,235989119529.7234,184304819107.05536,190578186988.83017,196851554870.60492,203124922752.37973,209398290634.15448,215671658515.9293,222490886688.23163,229310114860.534,236129343032.83633,242948571205.1387,249767799377.441
-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22401155233.383137,44802310466.76627,67203465700.149414,89604620933.53255,112005776166.9157,148726084232.32986,185446392297.74405,222166700363.15823,258887008428.5724,295607316493.9866,381834997653.95935,468062678813.9321,554290359973.9049,640518041133.8778,726745722293.8505,754959021568.2954,783172320842.7404,811385620117.1854,839598919391.6304,867812218666.0753,894833371162.413,921854523658.7505,948875676155.0883,975896828651.4258,1002917981147.7637
