Unit: dimensionless (% change),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
ISIC 28,-0.0051,-0.0546,-0.0162,0.0671,0.1367,0.0616,0.0458,0.0778,0.080475,0.06641875,0.0676234375,0.0730792969,0.0718991211,0.0697551514,0.0705892517,0.0713307053,0.0708935574,0.0706421664,0.0708639202,0.0709325873,0.0708330578,0.0708179329,0.0708618746,0.0708613632,0.0708435571,0.0708461819,0.0708532442,0.0708510866,0.0708485175,0.0708497576,0.0708506515,0.0708500033,0.0708497324,0.0708500362,0.0708501058,0.0708499694,0.070849961,0.0708500181,0.0708500136,0.0708499905,0.0708499958,0.0708500045,0.0708500011,0.070849998,0.0708499998,0.0708500009,0.0708499999,0.0708499997,0.0708500001,0.0708500001,0.07085,0.07085
ISIC 29,-0.0413,-0.1017,0.1143,0.1137,-0.0003,-0.0042,0.1398,0.06225,0.0493875,0.061809375,0.0783117188,0.0629396484,0.0631120605,0.0665432007,0.0677266571,0.0650803917,0.0656155775,0.0662414567,0.0661660208,0.0657758617,0.0659497292,0.0660332671,0.0659812197,0.0659350194,0.0659748088,0.0659810788,0.0659680317,0.0659647347,0.0659721635,0.0659715021,0.065969108,0.0659693771,0.0659705377,0.0659701312,0.0659697885,0.0659699586,0.065970104,0.0659699956,0.0659699617,0.065970005,0.0659700166,0.0659699947,0.0659699945,0.0659700027,0.0659700021,0.0659699985,0.0659699994,0.0659700007,0.0659700002,0.0659699997,0.06597,0.0659700001
ISIC 30,-0.0343,-0.1986,0.1782,0.1067,0.0763,-0.021,-0.0264,0.0339,0.0157,0.00055,0.0059375,0.014021875,0.0090523438,0.0073904297,0.0091005371,0.0098912964,0.0088586517,0.0088102287,0.0091651785,0.0091813388,0.0090038494,0.0090401489,0.0090976289,0.0090807415,0.0090555922,0.0090685279,0.0090756226,0.009070121,0.0090674659,0.0090704344,0.009070911,0.0090697331,0.0090696361,0.0090701786,0.0090701147,0.0090699156,0.0090699613,0.0090700426,0.0090700085,0.009069982,0.0090699986,0.0090700079,0.0090699993,0.0090699969,0.0090700007,0.0090700012,0.0090699995,0.0090699996,0.0090700002,0.0090700001,0.0090699999,0.00907
ISIC 31T33,0.0835,-0.0336,0.0816,-0.0199,-0.0204,0.0207,0.016,-0.0009,0.00385,0.0099125,0.007215625,0.0050195312,0.0064994141,0.0071617676,0.0064740845,0.0062886993,0.0066059914,0.0066326357,0.0065003527,0.0065069198,0.0065614749,0.0065503458,0.0065297733,0.0065371284,0.0065446806,0.006540482,0.0065380161,0.0065400768,0.0065408139,0.0065398472,0.0065396885,0.0065401066,0.006540114,0.0065399391,0.006539962,0.0065400304,0.0065400114,0.0065399857,0.0065399974,0.0065400062,0.0065400002,0.0065399974,0.0065400003,0.006540001,0.0065399997,0.0065399996,0.0065400002,0.0065400001,0.0065399999,0.00654,0.00654,0.00654
ISIC 351,0.0461,-0.0098,0.0561,0.0706,0.0507,0.0647,0.0344,0.0551,0.051225,0.05135625,0.0480203125,0.0514253906,0.0505067383,0.0503271729,0.0500699036,0.0505823013,0.050371529,0.0503377267,0.0503403651,0.0504079805,0.0503644003,0.0503626182,0.0503688411,0.05037596,0.0503679549,0.0503688435,0.0503703999,0.0503707896,0.050369497,0.0503698825,0.0503701422,0.0503700778,0.0503698999,0.0503700006,0.0503700301,0.0503700021,0.0503699832,0.050370004,0.0503700049,0.0503699985,0.0503699977,0.0503700013,0.0503700006,0.0503699995,0.0503699998,0.0503700003,0.05037,0.0503699999,0.05037,0.0503700001,0.05037,0.05037
ISIC 352T353,0.0016,-0.1194,0.0505,0.0301,0.0354,-0.0951,-0.0031,-0.008175,-0.01774375,-0.0310296875,-0.0150121094,-0.0179901367,-0.0204439209,-0.0211189636,-0.0186412827,-0.019548576,-0.0199381858,-0.019811752,-0.0194849491,-0.0196958657,-0.0197326882,-0.0196813137,-0.0196487042,-0.019689643,-0.0196880873,-0.019676937,-0.0196758429,-0.0196826275,-0.0196808737,-0.0196790703,-0.0196796036,-0.0196805438,-0.0196800228,-0.0196798101,-0.0196799951,-0.0196800929,-0.0196799802,-0.0196799696,-0.0196800095,-0.0196800131,-0.0196799931,-0.0196799963,-0.019680003,-0.0196800014,-0.0196799984,-0.0196799998,-0.0196800006,-0.01968,-0.0196799997,-0.01968,-0.0196800001,-0.01968
ISIC 36T39,0.0683,0.0494,0.0497,0.0323,0.049,0.0157,0.0094,0.0266,0.025175,0.01921875,0.0200984375,0.0227730469,0.0218163086,0.0209766357,0.0214161072,0.0217455246,0.021488644,0.0214067279,0.0215142509,0.0215387869,0.0214871024,0.021486717,0.0215067143,0.0215048302,0.021496341,0.0214986506,0.021501634,0.0215003639,0.0214992474,0.021499974,0.0215003048,0.0214999725,0.0214998747,0.0215000315,0.0215000459,0.0214999812,0.0214999833,0.0215000105,0.0215000052,0.021499995,0.0214999985,0.0215000023,0.0215000003,0.021499999,0.0215,0.0215000004,0.0214999999,0.0214999998,0.0215000001,0.0215000001,0.0215,0.0215
ISIC 41T43,0.0576,-0.0326,0.0281,0.0201,0.0491,0.0702,0.0381,0.044375,0.05044375,0.0507796875,0.0459246094,0.0478807617,0.0487572021,0.0483355652,0.0477245346,0.0481745159,0.0482479545,0.0481206425,0.0480669119,0.0481525062,0.0481470038,0.0481217661,0.048122047,0.0481358308,0.0481316619,0.0481278264,0.0481293415,0.0481311652,0.0481299988,0.048129583,0.0481300221,0.0481301922,0.048129949,0.0481299366,0.048130025,0.0481300257,0.0481299841,0.0481299928,0.0481300069,0.0481300024,0.0481299966,0.0481299997,0.0481300014,0.04813,0.0481299994,0.0481300001,0.0481300002,0.0481299999,0.0481299999,0.04813,0.04813,0.04813
ISIC 45T47,0.046,-0.0379,0.0463,0.0553,0.0485,0.0489,0.0549,0.0519,0.05105,0.0516875,0.052384375,0.0517554687,0.0517193359,0.0518866699,0.0519364624,0.0518244843,0.0518417381,0.0518723387,0.0518687559,0.0518518292,0.0518586655,0.0518628973,0.051860537,0.0518584822,0.0518601455,0.0518605155,0.0518599201,0.0518597658,0.0518600867,0.051860072,0.0518599612,0.0518599714,0.0518600228,0.0518600069,0.0518599906,0.0518599979,0.0518600046,0.05186,0.0518599983,0.0518600002,0.0518600007,0.0518599998,0.0518599997,0.0518600001,0.0518600001,0.0518599999,0.05186,0.05186,0.05186,0.05186,0.05186,0.05186
ISIC 49T53,0.0638,-0.1505,0.0324,0.1987,0.1396,0.0869,0.0878,0.12825,0.1106375,0.103396875,0.1075210938,0.1124513672,0.108501709,0.1079677612,0.1091104828,0.10950783,0.1087719458,0.108839505,0.1090574409,0.1090441804,0.108928268,0.1089673486,0.1089993095,0.1089847766,0.1089699257,0.1089803401,0.108983588,0.1089796576,0.1089783778,0.1089804909,0.1089805286,0.1089797637,0.1089797902,0.1089801433,0.1089800565,0.1089799384,0.1089799821,0.1089800301,0.1089800018,0.1089799881,0.1089800005,0.1089800051,0.1089799989,0.1089799982,0.1089800007,0.1089800007,0.1089799996,0.1089799998,0.1089800002,0.1089800001,0.1089799999,0.10898
